Canvas: 85
Users: Chssam
Pixels: 43400
Survivor: 40850
Undo: 3325
Replace: 1088

Different Position
Place: 42269
Undo: 3313

Top Color:
Place	Used	Percent	Color
1	3939	9.0760	Purple
2	3478	8.0138	White
3	3370	7.7650	Light Grey
4	3281	7.5599	Dark Purple
5	2276	5.2442	Aqua
6	2030	4.6774	Mauve
7	1990	4.5853	Dark Teal
8	1955	4.5046	Medium Grey
9	1593	3.6705	Magenta
10	1506	3.4700	Lime
11	1490	3.4332	Deep Grey
12	1444	3.3272	Orange
13	1305	3.0069	Navy
14	1193	2.7488	Red
15	1095	2.5230	Rose
16	1016	2.3410	Yellow
17	869	2.0023	Brown
18	850	1.9585	Watermelon
19	825	1.9009	Azure
20	799	1.8410	Dark Grey
21	787	1.8134	Blue
22	701	1.6152	Rust
23	642	1.4793	Peach
24	619	1.4263	Black
25	614	1.4147	Light Teal
26	602	1.3871	Green
27	591	1.3618	Chocolate
28	514	1.1843	Pink
29	510	1.1751	Pastel Yellow
30	476	1.0968	Dark Green
31	436	1.0046	Maroon
32	267	0.6152	Dark Chocolate
33	242	0.5576	Forest
34	95	0.2189	Beige


Place	X	Y	Color
1	913	1203	Dark Chocolate
5	891	1211	Yellow
10	853	1199	Black
50	839	991	Blue
69	1020	1255	Pink
100	1024	1268	Rose
1000	917	1314	Light Grey
