Canvas: 92
Users: Chssam
Pixels: 63000
Survivor: 58028
Undo: 100
Replace: 2871

Different Position
Place: 60008
Undo: 100

Top Color:
Place	Used	Percent	Color
1	10704	16.9905	Dark Green
2	6063	9.6238	Rose
3	4686	7.4381	Dark Grey
4	4310	6.8413	Orange
5	3984	6.3238	Black
6	3829	6.0778	Lime
7	3376	5.3587	Deep Grey
8	3167	5.0270	White
9	3139	4.9825	Beige
10	2958	4.6952	Navy
11	2295	3.6429	Azure
12	2234	3.5460	Rust
13	1772	2.8127	Pastel Yellow
14	1348	2.1397	Light Grey
15	1206	1.9143	Yellow
16	1125	1.7857	Medium Grey
17	984	1.5619	Brown
18	901	1.4302	Magenta
19	708	1.1238	Dark Teal
20	684	1.0857	Green
21	627	0.9952	Maroon
22	609	0.9667	Aqua
23	461	0.7317	Pink
24	344	0.5460	Peach
25	336	0.5333	Blue
26	302	0.4794	Watermelon
27	272	0.4317	Mauve
28	205	0.3254	Chocolate
29	141	0.2238	Forest
30	92	0.1460	Light Teal
31	77	0.1222	Purple
32	55	0.0873	Red
33	5	0.0079	Dark Purple
34	1	0.0016	Dark Chocolate


Place	X	Y	Color
1	4476	92	Dark Teal
5	4475	96	Dark Teal
10	4476	101	Dark Teal
50	4474	128	Dark Teal
69	4465	137	Dark Teal
100	4450	143	Dark Teal
1000	965	457	Azure
5000	4513	471	Deep Grey
10000	4465	398	Rust
25000	983	415	Azure
30000	3957	105	Dark Grey
63000	5039	160	Lime
